H_forward (A/m),B_forward_smoothed (T),H_reverse (A/m),B_reverse_smoothed (T)
33.44,4.526796000000188e-05,-33.440000000000005,-4.266136000000115e-05
33.6,4.5264120000001884e-05,-33.440000000000005,-4.266240000000114e-05
33.6,4.525892000000188e-05,-33.28000000000001,-4.2663840000001144e-05
33.919999999999995,4.525228000000188e-05,-33.120000000000005,-4.2665680000001144e-05
33.6,4.524420000000188e-05,-33.28000000000001,-4.2667920000001145e-05
33.919999999999995,4.523460000000188e-05,-33.280000000000015,-4.2670320000001144e-05
33.76,4.522340000000189e-05,-33.280000000000015,-4.267264000000115e-05
33.44,4.521060000000188e-05,-33.44000000000002,-4.267480000000116e-05
33.28000000000001,4.519628000000189e-05,-33.44000000000002,-4.267664000000117e-05
33.28000000000001,4.5180520000001884e-05,-33.44000000000002,-4.2678080000001165e-05
33.12000000000002,4.5163320000001873e-05,-33.280000000000015,-4.267920000000117e-05
33.28000000000001,4.514468000000186e-05,-33.28000000000001,-4.2679920000001165e-05
33.120000000000005,4.512460000000186e-05,-32.96,-4.2680160000001154e-05
33.120000000000005,4.510300000000185e-05,-32.959999999999994,-4.268000000000114e-05
32.96,4.507988000000186e-05,-32.639999999999986,-4.267944000000115e-05
32.64,4.5055320000001874e-05,-32.63999999999997,-4.2678480000001145e-05
32.64000000000001,4.502940000000188e-05,-32.31999999999998,-4.2677200000001144e-05
32.64000000000001,4.5002200000001885e-05,-32.479999999999976,-4.267560000000114e-05
32.16000000000001,4.497372000000189e-05,-32.15999999999999,-4.267360000000113e-05
32.00000000000002,4.4943880000001905e-05,-32.15999999999999,-4.267120000000114e-05
32.16000000000001,4.491268000000189e-05,-31.84000000000001,-4.266840000000116e-05
31.84000000000001,4.488012000000187e-05,-31.84000000000001,-4.2665120000001146e-05
31.520000000000003,4.4846120000001856e-05,-31.360000000000014,-4.266136000000114e-05
31.359999999999992,4.481068000000187e-05,-31.360000000000014,-4.2657200000001174e-05
31.519999999999982,4.477380000000187e-05,-31.04000000000001,-4.265264000000118e-05
31.039999999999985,4.473540000000187e-05,-31.04000000000001,-4.2647600000001153e-05
30.71999999999998,4.4695480000001875e-05,-30.560000000000013,-4.2642160000001166e-05
30.559999999999967,4.465412000000191e-05,-30.560000000000013,-4.263632000000117e-05
30.71999999999998,4.461132000000189e-05,-30.239999999999988,-4.263000000000114e-05
30.239999999999963,4.456708000000185e-05,-30.24000000000001,-4.262320000000112e-05
29.91999999999996,4.4521480000001866e-05,-29.75999999999999,-4.261600000000114e-05
29.759999999999945,4.44745200000019e-05,-29.599999999999977,-4.260848000000113e-05
29.439999999999962,4.442628000000189e-05,-29.439999999999962,-4.260064000000115e-05
